,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,-0.0002915116886592759
13,0.0
14,0.0
15,-0.000901679475526423
16,0.0
17,-0.0023541350232356333
18,0.0
19,0.0
20,-0.0009162344057568862
21,-0.0017915152680499464
22,-0.00039621656553642906
23,-0.00039887146399123885
24,0.0
25,-0.000600605072701986
26,-0.0020376957985235042
27,0.0
28,0.0
29,0.0
30,0.0
31,-0.0014554642091742767
32,0.0
33,0.0
34,0.0
35,-0.002012655411031745
36,0.0
37,0.0
38,-0.0009798795700665408
39,-0.001606983875557229
40,-0.0009815517890324472
41,-0.0012023487184922626
42,-0.002058674872730017
43,0.0
44,-0.001513008235053486
45,-0.001089450076698442
46,0.0
47,-0.001933219273782314
48,-0.002619729298169614
49,-0.00496274170713073
50,0.0
51,-0.000826664769544062
52,0.0
53,0.0
54,-0.0004658541439182018
55,-0.0021875655205653814
56,0.0
57,-0.004275347124243973
58,-0.0014466807283914965
59,-0.00030300477661798596
60,0.0
61,0.0
62,-0.00020242093954396287
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,-0.003785618063050663
69,-0.0024174907892060694
70,-0.002636248904978794
71,-0.0034208985917077417
72,-0.0012331345386445201
73,0.0
74,-0.00030686001237939785
75,-0.00013737647230888138
76,0.0
77,-0.0022246891372450766
78,-0.005552448227897742
79,-0.0019635532631832177
80,0.0
81,-0.0007555353473234245
82,0.0
83,0.0
84,-0.0010881260855890816
85,0.0
86,-0.0019173019325697145
87,0.0
88,0.0
89,-0.002114109867224414
90,0.0
91,-0.002732471656376505
92,-0.002248285625854239
93,-0.00020848490047723205
94,0.0
95,-0.00042743764006450896
96,-0.002394057340756492
97,0.0
98,-0.003044836123188814
99,-0.002130764731303198
100,0.0
101,0.0
102,0.0
103,-0.006001055327760844
104,-0.006303539266067944
105,0.0
106,0.0
107,-0.002176703606334431
108,-0.002376834210206712
109,0.0
110,0.0
111,-0.001121374738475029
112,0.0
113,-0.0036713327610417685
114,0.0
115,-0.002781254202685369
116,-0.005220283897345679
117,0.0
118,-0.004619957656929588
119,0.0
120,-0.0017927138020628758
121,-0.0023057103136495667
122,0.0
123,0.0
124,-0.001632473503230185
125,0.0
126,-0.0021644231125845987
127,0.0
128,-0.004315513401425464
129,0.0
130,-0.00149979245061739
131,-0.001468399550395045
132,-0.0018359425691547298
133,-0.0017137517363651283
134,0.0
135,-0.002023487008394053
136,-0.0044995229775810185
137,0.0
138,-0.0010288439699451097
139,0.0
140,-0.001193538195308952
141,-0.00025876640939063956
142,-0.002457977198120364
143,-0.00023979832018965568
144,0.0
145,-0.0009911769164587104
146,0.0
147,-0.002380321901475026
148,0.0
149,0.0
150,-0.0013689725050369439
151,0.0
152,0.0
153,-0.0033420602725952623
154,-0.0015245784493752663
155,0.0
156,-0.0019738280076577333
157,0.0
158,0.0
159,-0.0013028284677264587
160,0.0
161,-0.00040359249037822786
162,-0.005596548538392672
163,-0.003566578846767006
164,-0.007062691282081798
165,-0.008481252884461547
166,-0.010985847810191936
167,-0.010437559306350229
168,-0.0064148659077742885
169,-0.011449763982474338
170,-0.006356884996195455
171,-0.008224845444593077
172,-0.006447239890765239
173,-0.006181133031581246
174,-0.0062519137190280944
175,0.0
176,-0.0008432462452340823
177,-0.0023031791427971593
178,-0.0025403960977602577
179,0.0
180,0.0
181,0.0
182,0.0
183,-0.0009452881842829328
184,0.0
185,0.0
186,0.0
187,0.0
188,-0.0032028023957156562
189,0.0
190,-0.0012094108212829314
191,-0.00046007085704482143
192,-0.0015441885724452027
193,-0.00237952930677528
194,0.0
195,0.0
196,0.0
197,-0.005273413337738934
198,-0.0075195778019692665
199,-0.0036963974243690006
200,-0.003382215550296703
201,-0.007932552668695813
202,-0.004629080588383591
203,-0.003426600220657843
204,-0.0017495378437326304
205,-0.00798462989218031
206,-0.010630868278619763
207,-0.004667345637729204
208,-0.003667475995430828
209,-0.005194918081001721
210,-0.002864629654481703
211,-0.002933515223710881
212,0.0
213,-6.655819111454577e-05
214,0.0
215,-0.004355196430609075
216,-0.00019935812842960025
217,0.0
218,-0.0012882699982039354
219,0.0
220,-0.0034742756547141962
221,0.0
222,-0.0012416319152758356
223,0.0
224,0.0
225,-0.0007764374957234172
226,0.0
227,0.0
228,-0.00433794030293147
229,-0.009756469078571533
230,-0.009572883315080131
231,-0.005547657337059224
232,-0.0054480562911362355
233,-0.005454350140920225
234,-0.00518825754730081
235,-0.0022504624912233354
236,-0.0030170447011931487
237,-0.00640704427755147
238,-0.003520754416633139
239,0.0
240,-0.004701699773767785
241,0.0
242,-0.0037086286919294914
243,-0.0002201210694054745
244,0.0
245,-0.003108908020076635
246,-0.0005458598749867768
247,-0.002665622110073505
248,-0.0010016720755256126
249,0.0
250,0.0
251,-0.0008810911684263837
